Team,Year,Seed,Region,Bid type,Coach,Record,Eliminated,Round Reached
Binghamton,2009,15,East,Automatic Qualifier,Kevin Broadus,23-9,1,First Round
Boise State,2015,11,East,At Large,Leon Rice,-,0,Play-In
Boise State,2013,13,West,At Large,Leon Rice,21-11,0,Play-In
Boise State,2008,14,East,Automatic Qualifier,Greg Graham,25-9,1,First Round
Boise State,1994,14,West,Automatic Qualifier,Bob Dye,17-13,1,First Round
Boise State,1993,14,West,Automatic Qualifier,Bob Dye,21-8,1,First Round
Boise State,1988,14,West,Automatic Qualifier,Bob Dye,24-6,1,First Round
Boston College,2009,7,Midwest,At Large,Al Skinner,22-12,1,First Round
Boston College,2007,7,East,At Large,Al Skinner,21-12,2,Second Round
Boston College,2006,4,Midwest,At Large,Al Skinner,28-7,3,Sweet 16
Boston College,2005,4,Midwest,At Large,Al Skinner,25-5,2,Second Round
Boston College,2004,6,Midwest,At Large,Al Skinner,24-10,2,Second Round
Boston College,2002,11,Midwest,At Large,Al Skinner,20-12,1,First Round
Boston College,2001,3,East,Automatic Qualifier,Al Skinner,27-5,2,Second Round
Boston College,1997,5,West,Automatic Qualifier,Jim O'Brien,22-9,2,Second Round
Boston College,1996,11,Southeast,At Large,Jim O'Brien,19-11,2,Second Round
Boston College,1994,9,East,At Large,Jim O'Brien,23-11,4,Elite Eight
Boston College,1985,11,Midwest,At Large,Gary Williams,20-11,3,Sweet 16
Boston University,2011,16,Southwest,At Large,Steve Donohue,21-14,1,First Round
Boston University,2002,16,West,Automatic Qualifier,Dennis Wolff,22-10,1,First Round
Boston University,1997,12,Midwest,Automatic Qualifier,Dennis Wolff,25-5,1,First Round
Boston University,1990,16,East,Automatic Qualifier,Mike Jarvis,18-12,1,First Round
Boston University,1988,15,East,Automatic Qualifier,Mike Jarvis,23-8,1,First Round
Bradley,2006,13,West,At Large,Jim Les,22-11,3,Sweet 16
Bradley,1996,8,East,At Large,Jim Molinari,22-8,1,First Round
Bradley,1988,9,Southeast,Automatic Qualifier,Stan Albeck,26-5,1,First Round
Bradley,1986,7,West,At Large,Dick Versace,32-3,2,Second Round
Brigham Young,2015,11,West,At Large,Dave Rose,-,0,Play-In
Brigham Young,2014,10,West,At Large,Dave Rose,23-12,1,First Round
Brigham Young,2012,14,West,At Large,Dave Rose,26-9,1,First Round
Brigham Young,2011,3,Southeast,At Large,Dave Rose,32-5,3,Sweet 16
Brigham Young,2010,7,West,At Large,Dave Rose,30-6,2,Second Round
Brigham Young,2009,8,West,At Large,Dave Rose,25-8,1,First Round
Brigham Young,2008,8,West,At Large,Dave Rose,27-8,1,First Round
Brigham Young,2007,8,South,At Large,Dave Rose,25-9,1,First Round
Brigham Young,2004,12,West,At Large,Steve Cleveland,21-9,1,First Round
Brigham Young,2003,12,South,At Large,Steve Cleveland,23-9,1,First Round
Brigham Young,2001,12,West,Automatic Qualifier,Steve Cleveland,24-9,1,First Round
Brigham Young,1995,8,Southeast,At Large,Roger Reid,22-10,1,First Round
Brigham Young,1993,7,Midwest,At Large,Roger Reid,25-9,2,Second Round
Brigham Young,1992,10,West,Automatic Qualifier,Roger Reid,25-7,1,First Round
Brigham Young,1991,10,West,Automatic Qualifier,Roger Reid,21-13,2,Second Round
Brigham Young,1990,12,East,At Large,Roger Reid,21-9,1,First Round
Brigham Young,1988,4,Southeast,At Large,Ladell Andersen,26-6,2,Second Round
Brigham Young,1987,10,Southeast,At Large,Ladell Andersen,21-11,1,First Round
Brown,1986,15,East,Automatic Qualifier,Mike Cingiser,16-11,1,First Round
Bucknell,2017,13,West,Automatic Qualifier,Nathan Davis,26-9,1,First Round
Bucknell,2013,11,East,Automatic Qualifier,David Paulsen,28-6,1,First Round
Bucknell,2011,14,West,Automatic Qualifier,David Paulsen,25-9,1,First Round
Bucknell,2006,9,West,Automatic Qualifier,Pat Flannery,27-5,2,Second Round
Bucknell,2005,14,East,Automatic Qualifier,Pat Flannery,23-10,2,Second Round
Bucknell,1989,15,Midwest,Automatic Qualifier,Charles Woollum,23-8,1,First Round
Bucknell,1987,16,Southeast,Automatic Qualifier,Charles Woollum,22-9,1,First Round
Buffalo,2016,14,South,Automatic Qualifier,Nate Oats,-,1,First Round
Buffalo,2015,12,Midwest,Automatic Qualifier,Bobby Hurley,-,1,First Round
Butler,2017,4,South,At Large,Chris Holtmann,25-9,3,Sweet 16
Butler,2016,9,Midwest,At Large,Chris Holtmann,-,2,Second Round
Butler,2015,6,Midwest,At Large,Chris Holtmann,-,2,Second Round
Butler,2013,6,East,At Large,Brad Stevens,27-9,2,Second Round
Butler,2011,8,Southeast,Automatic Qualifier,Brad Stevens,28-10,6,National Championship
Butler,2010,5,West,Automatic Qualifier,Brad Stevens,33-5,6,National Championship
Butler,2009,9,South,At Large,Brad Stevens,26-6,1,First Round
Butler,2008,7,East,Automatic Qualifier,Brad Stevens,30-4,2,Second Round
Butler,2007,5,Midwest,At Large,Todd Lickliter,29-7,3,Sweet 16
Butler,2003,12,East,At Large,Todd Lickliter,27-6,3,Sweet 16
Butler,2001,10,Midwest,Automatic Qualifier,Thad Matta,24-8,2,Second Round
Butler,2000,12,East,Automatic Qualifier,Barry Collier,23-8,1,First Round
Butler,1998,13,South,Automatic Qualifier,Barry Collier,22-11,1,First Round
Butler,1997,14,Midwest,Automatic Qualifier,Barry Collier,23-10,1,First Round
Cal State Bakersfied,2016,15,West,Automatic Qualifier,Rod Barnes,-,1,First Round
Cal State Fullerton,2008,14,Midwest,Automatic Qualifier,Bob Burton,24-9,1,First Round
Cal State Northridge,2009,15,West,Automatic Qualifier,Bobby Braswell,17-14,1,First Round
Cal State Northridge,2001,13,Midwest,Automatic Qualifier,Bobby Braswell,22-10,1,First Round
Cal-Poly,2014,16,Midwest,Automatic Qualifier,Joe Callero,14-20,1,First Round
Campbell,1992,16,East,Automatic Qualifier,Billy Lee,19-12,1,First Round
Canisius,1996,13,Midwest,Automatic Qualifier,John Beilein,19-11,1,First Round
Central Connecticut State,2007,16,South,Automatic Qualifier,Howie Dickenman,22-12,1,First Round
Central Connecticut State,2002,14,South,Automatic Qualifier,Howie Dickenman,27-5,1,First Round
Central Connecticut State,2000,15,Midwest,Automatic Qualifier,Howie Dickenman,25-6,1,First Round
Central Florida,2005,15,East,Automatic Qualifier,Kirk Speraw,24-9,1,First Round
Central Florida,2004,14,East,Automatic Qualifier,Kirk Speraw,25-6,1,First Round
Central Florida,1996,16,East,Automatic Qualifier,Kirk Speraw,11-19,1,First Round
Central Florida,1994,16,Southeast,Automatic Qualifier,Kirk Speraw,21-9,1,First Round
Central Michigan,2003,11,West,Automatic Qualifier,Jay Smith,25-7,2,Second Round
Central Michigan,1987,13,West,Automatic Qualifier,Charlie Coles,22-8,1,First Round
Charleston Southern,1997,15,Midwest,Automatic Qualifier,Tom Conrad,17-13,1,First Round
Charlotte,2005,7,East,At Large,Bob Lutz,21-8,1,First Round
Charlotte,2004,9,East,At Large,Bob Lutz,21-9,1,First Round
Charlotte,2002,9,South,At Large,Bob Lutz,18-12,1,First Round
Charlotte,2001,9,Midwest,Automatic Qualifier,Bob Lutz,22-11,2,Second Round
Charlotte,1999,5,Midwest,Automatic Qualifier,Bob Lutz,23-11,2,Second Round
Charlotte,1998,8,East,At Large,Melvin Watkins,20-11,2,Second Round
Charlotte,1997,7,West,At Large,Melvin Watkins,22-9,2,Second Round
Charlotte,1995,7,East,At Large,Jeff Mullins,19-9,1,First Round
Charlotte,1992,7,East,At Large,Jeff Mullins,23-9,1,First Round
Charlotte,1988,13,Southeast,Automatic Qualifier,Jeff Mullins,22-9,1,First Round
Chattanooga,2016,12,East,At Large,Matt McCall,-,1,First Round
Chattanooga,2009,16,West,Automatic Qualifier,John Shulman,18-17,1,First Round
Chattanooga,2005,15,West,Automatic Qualifier,John Shulman,20-11,1,First Round
Chattanooga,1997,14,Southeast,Automatic Qualifier,Mack McCarthy,24-11,3,Sweet 16
Chattanooga,1995,15,West,Automatic Qualifier,Mack McCarthy,19-11,1,First Round
Chattanooga,1994,13,Southeast,Automatic Qualifier,Mack McCarthy,23-7,1,First Round
Chattanooga,1993,12,Southeast,Automatic Qualifier,Mack McCarthy,26-7,1,First Round
Chattanooga,1988,16,Southeast,Automatic Qualifier,Mack McCarthy,20-13,1,First Round
Cincinnati,2017,6,South,At Large,Mick Cronin,30-6,2,Second Round
Cincinnati,2016,9,West,At Large,Mick Cronin,-,1,First Round
Cincinnati,2015,8,Midwest,At Large,Mick Cronin,-,2,Second Round
Cincinnati,2014,5,East,At Large,Mick Cronin,27-7,1,First Round
Cincinnati,2013,10,Midwest,At Large,Mick Cronin,22-12,1,First Round
Cincinnati,2012,6,East,At Large,Mick Cronin,26-11,3,Sweet 16
Cincinnati,2011,6,West,At Large,Mick Cronin,26-9,2,Second Round
Cincinnati,2005,7,South,At Large,Bob Huggins,25-8,2,Second Round
Cincinnati,2004,4,South,Automatic Qualifier,Bob Huggins,25-7,2,Second Round
Cincinnati,2003,8,West,At Large,Bob Huggins,17-12,1,First Round
Cincinnati,2002,1,West,Automatic Qualifier,Bob Huggins,31-4,2,Second Round
Cincinnati,2001,5,West,At Large,Bob Huggins,25-10,3,Sweet 16
Cincinnati,2000,2,South,At Large,Bob Huggins,29-4,2,Second Round
Cincinnati,1999,3,East,At Large,Bob Huggins,27-6,2,Second Round
Cincinnati,1998,2,West,Automatic Qualifier,Bob Huggins,27-6,2,Second Round
Cincinnati,1997,3,Midwest,At Large,Bob Huggins,26-8,2,Second Round
Cincinnati,1996,2,Southeast,At Large,Bob Huggins,28-5,4,Elite Eight
Cincinnati,1995,7,West,At Large,Bob Huggins,22-12,2,Second Round
Cincinnati,1994,8,West,At Large,Bob Huggins,22-10,1,First Round
Cincinnati,1993,2,East,At Large,Bob Huggins,27-5,4,Elite Eight
Cincinnati,1992,4,Midwest,At Large,Bob Huggins,29-5,5,Final Four
Clemson,2011,12,East,At Large,Brad Brownell,22-12,1,First Round
Clemson,2010,7,East,At Large,Oliver Purnell,21-11,1,First Round
Clemson,2009,7,South,At Large,Oliver Purnell,23-9,1,First Round
Clemson,2008,5,Midwest,At Large,Oliver Purnell,24-10,1,First Round
Clemson,1998,6,Midwest,At Large,Rick Barnes,18-14,1,First Round
Clemson,1997,4,Midwest,At Large,Rick Barnes,23-10,3,Sweet 16
Clemson,1996,9,West,At Large,Rick Barnes,18-11,1,First Round
Clemson,1990,5,East,At Large,Cliff Ellis,26-9,3,Sweet 16
Clemson,1989,9,West,At Large,Cliff Ellis,19-11,2,Second Round
Clemson,1987,4,Southeast,At Large,Cliff Ellis,25-6,1,First Round
Cleveland State,2009,13,Midwest,Automatic Qualifier,Gary Waters,26-11,2,Second Round
Cleveland State,1986,14,East,At Large,Kevin Mackey,29-4,3,Sweet 16
Coastal Carolina,2015,16,West,Automatic Qualifier,Cliff Ellis,-,1,First Round
Coastal Carolina,2014,16,East,Automatic Qualifier,Cliff Ellis,21-13,1,First Round
Coastal Carolina,1993,16,West,Automatic Qualifier,Russ Bergman,22-10,1,First Round
Coastal Carolina,1991,15,Southeast,Automatic Qualifier,Russ Bergman,24-8,1,First Round
Colgate,1996,16,Southeast,Automatic Qualifier,Jack Bruen,15-15,1,First Round
Colgate,1995,16,Midwest,Automatic Qualifier,Jack Bruen,17-13,1,First Round
College of Charleston,1999,8,East,Automatic Qualifier,John Kresse,28-3,1,First Round
College of Charleston,1998,14,Midwest,Automatic Qualifier,John Kresse,24-6,1,First Round
College of Charleston,1997,12,Southeast,Automatic Qualifier,John Kresse,29-3,2,Second Round
College of Charleston,1994,12,Southeast,At Large,John Kresse,24-4,1,First Round
Colorado,2016,8,South,At Large,Tad Boyle,-,1,First Round
Colorado,2014,8,South,At Large,Tad Boyle,23-12,1,First Round
Colorado,2013,10,East,At Large,Tad Boyle,21-12,1,First Round
Colorado,2012,11,South,Automatic Qualifier,Tad Boyle,24-12,2,Second Round
Colorado,2003,10,South,At Large,Ricardo Patton,20-12,1,First Round
Colorado,1997,9,East,At Large,Ricardo Patton,22-10,2,Second Round
Colorado State,2013,8,Midwest,At Large,Larry Eustachy,26-9,2,Second Round
Colorado State,2012,11,West,At Large,Tim Miles,20-12,1,First Round
Colorado State,2003,14,West,Automatic Qualifier,Dale Layer,19-14,1,First Round
Colorado State,1990,10,West,At Large,Boyd Grant,21-9,1,First Round
Colorado State,1989,10,Midwest,At Large,Boyd Grant,23-10,2,Second Round
Connecticut,2016,9,South,Automatic Qualifier,Kevin Ollie,-,2,Second Round
Connecticut,2014,7,East,At Large,Kevin Ollie,32-8,6,National Championship
Connecticut,2012,9,South,At Large,Jim Calhoun,20-14,1,First Round
Connecticut,2011,3,West,Automatic Qualifier,Jim Calhoun,32-9,6,National Championship
Connecticut,2009,1,West,At Large,Jim Calhoun,31-5,5,Final Four
Connecticut,2008,4,West,At Large,Jim Calhoun,24-9,1,First Round
Connecticut,2006,1,East,At Large,Jim Calhoun,30-4,4,Elite Eight
Connecticut,2005,2,East,At Large,Jim Calhoun,23-8,2,Second Round
Connecticut,2004,2,West,Automatic Qualifier,Jim Calhoun,33-6,6,National Championship
Connecticut,2003,5,South,At Large,Jim Calhoun,23-10,3,Sweet 16
Connecticut,2002,2,East,Automatic Qualifier,Jim Calhoun,27-7,4,Elite Eight
Connecticut,2000,5,South,At Large,Jim Calhoun,25-10,2,Second Round
Connecticut,1999,1,West,Automatic Qualifier,Jim Calhoun,34-2,6,National Championship
Connecticut,1998,2,East,Automatic Qualifier,Jim Calhoun,32-5,4,Elite Eight
Connecticut,1996,1,Southeast,Automatic Qualifier,Jim Calhoun,32-3,3,Sweet 16
Connecticut,1995,2,West,At Large,Jim Calhoun,28-5,4,Elite Eight
Connecticut,1994,2,East,At Large,Jim Calhoun,29-5,3,Sweet 16
Connecticut,1992,9,Southeast,At Large,Jim Calhoun,20-10,2,Second Round
Connecticut,1991,11,Midwest,At Large,Jim Calhoun,20-11,3,Sweet 16
Connecticut,1990,1,East,Automatic Qualifier,Jim Calhoun,31-6,4,Elite Eight
Coppin State,2008,16,East,Automatic Qualifier,Ron Mitchell,16-21,0,Play-In
Coppin State,1997,15,East,Automatic Qualifier,Ron Mitchell,22-9,2,Second Round
Coppin State,1993,15,East,Automatic Qualifier,Ron Mitchell,22-8,1,First Round
Coppin State,1990,15,Southeast,Automatic Qualifier,Ron Mitchell,26-7,1,First Round
Cornell,2010,12,East,Automatic Qualifier,Steve Donohue,29-5,3,Sweet 16
Cornell,2009,14,West,Automatic Qualifier,Steve Donohue,21-10,1,First Round
Cornell,2008,14,South,Automatic Qualifier,Steve Donohue,22-6,1,First Round
Cornell,1988,16,West,Automatic Qualifier,Mike Dement,17-10,1,First Round
Creighton,2017,6,Midwest,At Large,Greg McDermott,25-10,1,First Round
Creighton,2014,3,West,At Large,Greg McDermott,27-8,2,Second Round
Creighton,2013,7,Midwest,Automatic Qualifier,Greg McDermott,28-8,2,Second Round
Creighton,2012,8,Midwest,Automatic Qualifier,Greg McDermott,29-6,2,Second Round
Creighton,2007,10,South,Automatic Qualifier,Dana Altman,22-11,1,First Round
Creighton,2005,10,West,Automatic Qualifier,Dana Altman,23-11,1,First Round
Creighton,2003,6,West,Automatic Qualifier,Dana Altman,29-5,1,First Round
Creighton,2002,12,Midwest,Automatic Qualifier,Dana Altman,23-9,2,Second Round
Creighton,2001,10,East,At Large,Dana Altman,24-8,1,First Round
Creighton,2000,10,Midwest,Automatic Qualifier,Dana Altman,23-10,1,First Round
Creighton,1999,10,South,Automatic Qualifier,Dana Altman,22-9,2,Second Round
Creighton,1991,11,West,Automatic Qualifier,Tony Barone,24-8,2,Second Round
Creighton,1989,14,Midwest,Automatic Qualifier,Tony Barone,20-11,1,First Round
Davidson,2015,10,South,At Large,Bob McKillop,-,1,First Round
Davidson,2013,14,West,Automatic Qualifier,Bob McKillop,26-8,1,First Round
Davidson,2012,13,West,Automatic Qualifier,Bob McKillop,25-8,1,First Round
Davidson,2008,10,Midwest,Automatic Qualifier,Bob McKillop,29-7,4,Elite Eight
Davidson,2007,13,Midwest,Automatic Qualifier,Bob McKillop,29-5,1,First Round
Davidson,2006,15,Midwest,Automatic Qualifier,Bob McKillop,20-11,1,First Round
Davidson,2002,13,West,Automatic Qualifier,Bob McKillop,21-10,1,First Round
